id,titulaire-sexe,titulaire-soutien-simplifie,n_sentences,mean_sent_len,std_sent_len,mean_word_len,pron_1sg_rate,pron_1pl_rate,modal_rate,adj_rate,flesch_fr,msttr
EL196_L_1993_03_076_11_2_PF_01,homme,Non mentionné,4,86.25,64.63503307030948,5.127536231884058,0.2898550724637681,1.7391304347826086,0.8695652173913043,9.565217391304348,-39.05041666666665,0.91
EL196_L_1993_03_076_11_2_PF_02,homme,Droite parlementaire (RPR/UDF),6,44.833333333333336,78.85729022875579,4.944237918215613,0.7434944237918215,2.973977695167286,1.858736059479554,10.037174721189592,2.5291109045848827,0.76
EL196_L_1993_03_076_12_2_PF_01,homme,Non mentionné,7,52.857142857142854,70.61652694342182,5.056756756756757,6.216216216216217,1.3513513513513513,0.8108108108108109,9.18918918918919,-4.591621621621584,0.92
EL196_L_1993_03_076_12_2_PF_02,homme,Droite parlementaire (RPR/UDF),10,49.0,119.01764575053566,4.96734693877551,0.8163265306122449,2.2448979591836733,1.8367346938775513,10.0,-2.401938775510189,0.87
EL196_L_1993_03_076_02_2_PF_01,homme,Non mentionné,4,85.0,128.54765653250936,5.035294117647059,1.1764705882352942,0.5882352941176471,0.8823529411764706,14.117647058823529,-36.21617647058822,0.91
EL196_L_1993_03_076_02_2_PF_02,homme,Droite parlementaire (RPR/UDF),2,173.5,92.5,5.406340057636887,0.8645533141210375,0.5763688760806917,0.0,12.968299711815561,-138.14918587896253,0.86
EL196_L_1993_03_076_03_2_PF_01,homme,Ambigu,9,54.22222222222222,111.83696246250389,4.758196721311475,2.459016393442623,0.4098360655737705,1.639344262295082,8.60655737704918,-1.1175227686703124,0.87
EL196_L_1993_03_076_03_2_PF_02,homme,Non mentionné,5,74.6,145.70051475543934,5.1554959785522785,0.5361930294906166,1.0723860589812333,0.8042895442359249,7.506702412868632,-25.784951742627328,0.88
EL196_L_1993_03_076_04_2_PF_01,homme,Gauche gouvernementale (PS/MRG/MDC),15,57.333333333333336,171.46998441580251,5.5127906976744185,1.0465116279069768,1.1627906976744187,0.3488372093023256,12.906976744186046,-19.788682170542614,0.8474999999999999
EL196_L_1993_03_076_04_2_PF_02,homme,Droite parlementaire (RPR/UDF),2,320.5,309.5,5.483619344773791,1.24804992199688,1.5600624024960998,0.7800312012480499,9.98439937597504,-282.9602301092043,0.875
EL196_L_1993_03_076_05_2_PF_01,homme,Non mentionné,6,73.66666666666667,106.53429286176143,5.024886877828054,0.22624434389140274,1.583710407239819,0.0,10.407239819004525,-25.961711915535403,0.86
EL196_L_1993_03_076_05_2_PF_02,homme,Droite parlementaire (RPR/UDF),6,119.33333333333333,255.68643991333516,4.833798882681564,0.27932960893854747,4.608938547486034,0.41899441340782123,9.078212290502794,-61.01495344506516,0.885
EL196_L_1993_03_076_06_2_PF_01,homme,Droite parlementaire (RPR/UDF),7,73.71428571428571,169.57317365812847,5.065891472868217,2.7131782945736433,2.3255813953488373,1.1627906976744187,11.24031007751938,-26.00294573643407,0.86
EL196_L_1993_03_076_06_2_PF_02,homme,Gauche gouvernementale (PS/MRG/MDC),3,153.33333333333334,180.9868012376102,4.710869565217391,2.391304347826087,0.8695652173913043,2.608695652173913,9.565217391304348,-96.79333333333332,0.88
EL196_L_1993_03_076_07_2_PF_01,homme,Droite parlementaire (RPR/UDF),4,35.25,48.945760797029195,5.170212765957447,2.127659574468085,2.8368794326241136,0.7092198581560284,9.929078014184398,15.669476950354607,0.9365079365079364
EL196_L_1993_03_076_07_2_PF_02,homme,Front national,2,350.5,340.5,4.948644793152639,0.0,0.9985734664764622,0.14265335235378032,11.269614835948644,-299.002293152639,0.84
EL196_L_1993_03_076_08_2_PF_01,femme,Droite parlementaire (RPR/UDF),1,225.0,0.0,4.6755555555555555,1.3333333333333335,1.3333333333333335,0.8888888888888888,9.333333333333334,-168.57499999999996,0.8625
EL196_L_1993_03_076_08_2_PF_02,homme,Non mentionné,3,179.66666666666666,226.51024014134305,4.552875695732839,0.3710575139146568,2.411873840445269,1.2987012987012987,8.905380333951761,-118.60174087816944,0.89
EL196_L_1993_03_076_09_2_PF_01,femme,Non mentionné,3,74.33333333333333,78.67796529030362,4.860986547085202,2.242152466367713,2.690582959641256,1.345291479820628,8.520179372197308,-19.60887144992526,0.8433734939759037
EL196_L_1993_03_076_09_2_PF_02,homme,Droite parlementaire (RPR/UDF),3,97.33333333333333,126.33641157199649,4.931506849315069,4.794520547945205,2.3972602739726026,1.7123287671232876,8.904109589041095,-43.27826484018263,0.898989898989899
EL196_L_1993_03_077_01_2_PF_01,homme,Droite parlementaire (RPR/UDF),1,238.0,0.0,4.920168067226891,2.941176470588235,0.42016806722689076,0.8403361344537815,9.243697478991598,-190.7380672268907,0.9428571428571428
EL196_L_1993_03_077_01_2_PF_02,homme,Non mentionné,8,47.625,103.11030198287656,5.005249343832021,1.837270341207349,1.574803149606299,1.3123359580052494,10.498687664041995,1.2223047900262713,0.83
EL196_L_1993_03_077_03_2_PF_01,homme,Droite parlementaire (RPR/UDF),7,49.857142857142854,64.44361560183238,4.810888252148997,3.7249283667621778,1.7191977077363898,1.7191977077363898,7.736389684813753,7.086117478510062,0.94
EL196_L_1993_03_077_03_2_PF_02,homme,Front national,5,331.2,346.9007927347529,4.60024154589372,1.4492753623188406,0.9057971014492754,0.6642512077294686,8.695652173913043,-272.4124444444444,0.8233333333333334
EL196_L_1993_03_077_04_2_PF_01,homme,Non mentionné,9,110.66666666666667,212.99034928580423,5.276104417670683,0.5020080321285141,1.2048192771084338,0.30120481927710846,10.140562248995984,-66.41903614457829,0.95
EL196_L_1993_03_077_04_2_PF_02,homme,Front national,6,110.16666666666667,216.58440746174585,4.9742813918305595,0.45385779122541603,0.9077155824508321,0.9077155824508321,8.623298033282904,-56.027638678769534,0.935
EL196_L_1993_03_077_05_2_PF_01,homme,Droite parlementaire (RPR/UDF),5,82.8,157.13484654907072,4.990338164251208,2.657004830917874,1.4492753623188406,0.966183574879227,10.144927536231885,-31.88644444444442,0.92
EL196_L_1993_03_077_05_2_PF_02,homme,Front national,3,218.66666666666666,233.49851296219333,4.910060975609756,0.0,0.45731707317073167,0.3048780487804878,9.603658536585366,-165.17593495934955,0.895
EL196_L_1993_03_077_06_2_PF_01,homme,Droite parlementaire (RPR/UDF),7,41.142857142857146,58.4035922853786,4.96875,2.7777777777777777,2.083333333333333,1.0416666666666665,10.416666666666668,9.862222222222243,0.8736842105263158
EL196_L_1993_03_077_06_2_PF_02,homme,Front national,10,91.0,165.4182577589306,4.820879120879121,0.21978021978021978,0.8791208791208791,0.5494505494505495,9.010989010989011,-33.45467032967032,0.86
EL196_L_1993_03_077_07_2_PF_01,homme,Droite parlementaire (RPR/UDF),1,596.0,0.0,5.092281879194631,0.6711409395973155,1.5100671140939599,1.342281879194631,10.570469798657719,-555.0191946308723,0.935
EL196_L_1993_03_077_07_2_PF_02,homme,Front national,3,79.66666666666667,86.52681023179399,4.928870292887029,2.092050209205021,1.2552301255230125,0.0,12.97071129707113,-24.449114365411432,0.8876404494382022
EL196_L_1993_03_077_08_2_PF_01,homme,Droite parlementaire (RPR/UDF),2,195.5,145.5,5.217391304347826,1.0230179028132993,1.5345268542199488,1.278772378516624,7.161125319693094,-153.69132352941173,0.87
EL196_L_1993_03_077_08_2_PF_02,homme,Non mentionné,11,89.18181818181819,167.64454722679181,4.8460754332313964,1.2232415902140672,0.9174311926605505,1.1213047910295617,8.766564729867483,-33.72056482253727,0.8866666666666667
EL196_L_1993_03_077_09_2_PF_01,homme,Droite parlementaire (RPR/UDF),8,39.25,97.43427271756073,4.82484076433121,0.6369426751592357,1.5923566878980893,0.3184713375796179,9.554140127388536,19.961250000000007,0.9591836734693876
EL196_L_1993_03_077_09_2_PF_02,homme,Non mentionné,4,156.0,262.6984963794045,4.703525641025641,4.006410256410256,1.7628205128205128,0.8012820512820512,8.974358974358974,-97.47846153846152,0.865
EL196_L_1993_03_078_01_2_PF_01,homme,Droite parlementaire (RPR/UDF),7,35.57142857142857,53.65992690175827,4.963855421686747,0.8032128514056224,1.2048192771084338,0.8032128514056224,10.441767068273093,16.305441767068288,0.8734177215189873
EL196_L_1993_03_078_01_2_PF_02,homme,Gauche gouvernementale (PS/MRG/MDC),3,92.33333333333333,111.5476978197618,4.945848375451264,1.083032490974729,0.36101083032490977,2.166064981949458,10.108303249097473,-42.952268351383836,0.7731958762886598
EL196_L_1993_03_078_10_2_PF_01,femme,Droite parlementaire (RPR/UDF),2,107.0,106.0,5.144859813084112,3.2710280373831773,2.803738317757009,0.46728971962616817,9.813084112149532,-57.05920560747663,0.8846153846153846
EL196_L_1993_03_078_10_2_PF_02,femme,Non mentionné,6,53.166666666666664,103.05244080348392,5.106583072100314,3.761755485893417,1.5673981191222568,1.2539184952978055,8.463949843260188,-4.77733281086725,0.82
EL196_L_1993_03_078_11_2_PF_01,homme,Droite parlementaire (RPR/UDF),2,296.0,32.0,5.179054054054054,1.0135135135135136,1.6891891891891893,1.0135135135135136,9.797297297297296,-252.69945945945943,0.915
