id,famille_partisane,titulaire-sexe,lda_dominant_topic,lda_dominant_label,bertopic,bertopic_label,lda_topic_0,lda_topic_1,lda_topic_2,lda_topic_3,lda_topic_4,lda_topic_5,lda_topic_6,lda_topic_7,lda_topic_8,lda_topic_9,nmf_topic_0,nmf_topic_1,nmf_topic_2,nmf_topic_3,nmf_topic_4,nmf_topic_5,nmf_topic_6,nmf_topic_7,nmf_topic_8,nmf_topic_9
EL197_L_1993_03_091_09_1_PF_08,Indépendants / divers,homme,9,"Nature, faune et chasse",1,cologie / entente / verts,0.0003303819410513591,0.0003300636346838034,0.00033008524213070403,0.0003300707855945288,0.005511197444425462,0.000330071891532259,0.0003300600023831698,0.0003300701151394605,0.00033008149575337257,0.9918479174473058,0.0,0.01720735457747087,0.9129887681756612,0.011895388638650056,0.030500378098249695,0.0,0.0,0.0,0.0,0.027408092247697052
EL197_L_1993_03_091_09_1_PF_09,Droite parlementaire (RPR/UDF),homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00028174989517123816,0.00028179412033115566,0.0002817304432967193,0.0002818298931472207,0.0002817553861403891,0.0002817308164896181,0.00028173200453529334,0.00028172388859203275,0.0002817526389108917,0.9974642009133855,0.012731956521893644,0.09749997344800526,0.6450163747326445,0.06436274283458583,0.0,0.07185928629164666,0.0,0.0,0.0,0.10852965278199309
EL197_L_1993_03_091_09_1_PF_10,Écologistes,non déterminé,0,Travail salarié et secteur public,-1,bruit,0.9961206382331212,0.00043103844662837503,0.0004310434825601211,0.0004310379015885674,0.0004310436589505572,0.000431038609785321,0.0004310387892303915,0.00043104062315712653,0.000431039062358334,0.000431041192619969,0.9995507539165619,0.0,0.0,0.0,0.0,0.0003587981479836812,0.0,0.0,0.0,9.044270552615098e-05
EL198_L_1993_03_092_01_1_PF_01,Non mentionné,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0002578064914037762,0.0002577701638075809,0.0002577955380842916,0.00025777321622547685,0.21851090762859454,0.0002577652421274159,0.0002578077369881371,0.028287509384341998,0.0002577733228826412,0.7513970912755441,0.02710735850467348,0.023614792160292882,0.47736203476559813,0.017771981079056053,0.026006519066643217,0.012689006182337462,0.22820544965296546,0.10314421334870699,0.07442952692127593,0.00966910709963851
EL198_L_1993_03_092_01_1_PF_02,Front national,homme,3,Conflit capital-travail et maintien de l emploi,0,franais / rpr / udf,0.0001964918462521138,0.32174165564044477,0.002740848184411816,0.36372029715924487,0.00019649842821525777,0.00019647795847355863,0.0001964984099941141,0.012599535836746972,0.00019650686724592738,0.2982151896689705,0.0,0.6088126143271764,0.20735895565874254,0.026144940880052137,0.0,0.0,0.0,0.12674137407903197,0.010221574641655552,0.020720532107617196
EL198_L_1993_03_092_01_1_PF_03,Non mentionné,homme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.0006332991967041196,0.0006330084181457436,0.0006329748951082269,0.0006329970136099895,0.01792224543086168,0.010032321806182385,0.0006329785957702084,0.0006329783773607157,0.0006329652988193296,0.9676142309674377,0.02081169103050982,0.009137670923208786,0.8023132204109628,0.0,0.0,0.04622170345329796,0.0,0.0,0.0,0.12151569430127192
EL198_L_1993_03_092_01_1_PF_04,Gauche gouvernementale (PS/MRG/MDC),femme,9,"Nature, faune et chasse",0,franais / rpr / udf,0.00017515288563491922,0.00017514957249666294,0.00017516534504297352,0.00017514730353981121,0.0047646667859751884,0.002861244011312815,0.0026631446767926997,0.005415313375429755,0.002265029517920345,0.9813299865258548,0.008239712418355864,0.0,0.9117375311601301,0.0,0.056251024365567545,0.012761706888150854,0.0,0.011010012248969438,0.0,0.0
EL198_L_1993_03_092_01_1_PF_05,Extrême gauche,non déterminé,8,Positionnement gauche-droite et identité partisane,3,patrons / travailleurs / patronat,0.0001084624552927203,0.00010846243354794259,0.0001084621363129437,0.0001084625742992582,0.00010846575899748274,0.00010846237619212731,0.00010846420230899315,0.00010846197342532627,0.9990238315185384,0.00010846457108491189,0.0,0.0,0.0,0.9999999963072052,0.0,0.0,0.0,0.0,0.0,0.0
EL198_L_1993_03_092_01_1_PF_06,Extrême gauche,non déterminé,6,Discours en langue allemande,-1,bruit,0.00010941205263310565,0.00010941186104188379,0.00010941278556547941,0.00010941232031262575,0.00010941535903768109,0.0001094124891505066,0.9990152817731096,0.0001094129632650581,0.00010941350412571499,0.00010941489175839612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999974226932,0.0
EL198_L_1993_03_092_01_1_PF_07,Écologistes,homme,2,Immigration et réduction des impôts,1,cologie / entente / verts,0.00024941327629697296,0.005384148428219204,0.6263431955308111,0.00024941188291342445,0.0002494532785742358,0.00024940999008717037,0.0002495075990988179,0.0002495029741433665,0.00024940247502342025,0.3665265545648323,0.0,0.005770301166944681,0.04844479521645881,0.0038466976830979225,0.9076137573363036,0.0,0.023403791893875484,0.0,0.010920651883741956,0.0
