id,departement-nom,titulaire-soutien,german_density
EL194_L_1993_03_067_06_2_PF_02,Bas-Rhin,non mentionné,0.0980980980980981
EL194_L_1993_03_067_09_2_PF_01,Bas-Rhin,Union pour la démocratie française,0.1559278350515464
EL194_L_1993_03_067_09_2_PF_02,Bas-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.1022530329289428
EL194_L_1993_03_068_01_2_PF_01,Haut-Rhin,Rassemblement pour la République,0.09265734265734266
EL194_L_1993_03_068_04_2_PF_01,Haut-Rhin,Centre des démocrates sociaux;Union pour la démocratie française;Rassemblement pour la République,0.1166077738515901
EL194_L_1993_03_068_04_2_PF_02,Haut-Rhin,Front national,0.12652608213096558
EL194_L_1993_03_068_05_2_PF_01,Haut-Rhin,Front national,0.14195361911454674
EL194_L_1993_03_068_05_2_PF_02,Haut-Rhin,non mentionné,0.12898330804248861
EL194_L_1993_03_068_05_2_PF_03,Haut-Rhin,Union pour la démocratie française;Rassemblement pour la République,0.12831858407079647
EL194_L_1993_03_068_06_2_PF_01,Haut-Rhin,Centre des démocrates sociaux;Union pour la démocratie française;Rassemblement pour la République,0.12037765538945712
EL194_L_1993_03_068_06_2_PF_02,Haut-Rhin,Front national,0.13740458015267176
EL194_L_1993_03_068_07_2_PF_01,Haut-Rhin,Rassemblement pour la République;Union pour la démocratie française;Centre des démocrates sociaux,0.12792511700468018
EL194_L_1993_03_068_07_2_PF_02,Haut-Rhin,non mentionné,0.12439024390243902
